"Species","weight","longevity","weaning","litter","birthweight"
"Acinonyx_jubatus",53500,20.5,107,3,489
"Caracal_caracal",16000,20.3,122,3,165
"Catopuma_badia",5000,NA,NA,NA,NA
"Catopuma_temminckii",13500,23,NA,1,250
"Felis_bieti",6000,NA,NA,NA,NA
"Felis_chaus",10000,20,90,3,131
"Felis_margarita",2750,13.9,NA,4.5,55.5
"Felis_nigripes",2125,15.6,NA,2,72.4
"Felis_silvestris",5500,19,87,3.7,100
"Herpailurus_yaguarondi",7000,18.6,NA,2,NA
"Leopardus_pardalis",8800,28.2,106,2,255.5
"Leopardus_tigrinus",2250,21.9,56,1.5,NA
"Leopardus_wiedii",3666.7,24,56,1.5,166.5
"Leptailurus_serval",13350,22.4,128,2.5,263
"Lynx_canadensis",10100,26.8,152,3.5,204
"Lynx_lynx",23000,23.7,87,2,246.5
"Lynx_pardinus",11000,NA,NA,2.5,NA
"Lynx_rufus",8600,32.3,65,3,265
"Neofelis_nebulosa",19500,19.8,130,2,170
"Oncifelis_colocolo",3500,NA,NA,NA,NA
"Oncifelis_geoffroyi",4000,23,68,2,93.2
"Oncifelis_guigna",2230,NA,NA,NA,NA
"Oreailurus_jacobita",5500,NA,NA,NA,NA
"Panthera_leo",175000,27,216,3,1300
"Panthera_onca",81150,28,126,2,820
"Panthera_pardus",53750,27.3,110,2,550
"Panthera_tigris",119700,26.3,121,2.5,1190
"Pardofelis_marmorata",3500,NA,NA,2,85
"Prionailurus_bengalensis",5000,17,45,2.5,96
"Prionailurus_planiceps",6750,14,NA,NA,NA
"Prionailurus_rubiginosus",1350,17.9,NA,2.5,NA
"Prionailurus_viverrinus",10650,17.2,182,2,170
"Profelis_aurata",10650,21,NA,2,248.33
"Puma_concolor",63000,23.8,90,2.5,400
"Uncia_uncia",50000,21.2,77,2,475
